"Otroci, vkljuèeni v vrtec, po statistièni regiji stalnega prebivališèa in spolu, Slovenija, letno"

"ŠOLSKO LETO";"STATISTIÈNA REGIJA";"Spol - SKUPAJ";"Deèki";"Deklice"
"2006/07";"SLOVENIJA";58107;30327;27780
"2006/07";"Pomurska";3202;1585;1617
"2006/07";"Podravska";8198;4304;3894
"2006/07";"Koroška";1831;947;884
"2006/07";"Savinjska";7377;3818;3559
"2006/07";"Zasavska";964;515;449
"2006/07";"Posavska";1922;1014;908
"2006/07";"Jugovzhodna Slovenija";4211;2204;2007
"2006/07";"Osrednjeslovenska";17517;9153;8364
"2006/07";"Gorenjska";5661;3006;2655
"2006/07";"Primorsko-notranjska";1237;630;607
"2006/07";"Goriška";3032;1633;1399
"2006/07";"Obalno-kraška";2955;1518;1437
"2006/07";"stalno prebivališèe neznano ali v tujini";20;13;7
"2007/08";"SLOVENIJA";61344;32035;29309
"2007/08";"Pomurska";3321;1664;1657
"2007/08";"Podravska";8794;4593;4201
"2007/08";"Koroška";1869;941;928
"2007/08";"Savinjska";8024;4193;3831
"2007/08";"Zasavska";981;532;449
"2007/08";"Posavska";1935;1021;914
"2007/08";"Jugovzhodna Slovenija";4293;2270;2023
"2007/08";"Osrednjeslovenska";18549;9736;8813
"2007/08";"Gorenjska";6013;3130;2883
"2007/08";"Primorsko-notranjska";1333;669;664
"2007/08";"Goriška";3056;1635;1421
"2007/08";"Obalno-kraška";3176;1651;1525
"2007/08";"stalno prebivališèe neznano ali v tujini";15;9;6
"2008/09";"SLOVENIJA";65950;34139;31811
"2008/09";"Pomurska";3514;1710;1804
"2008/09";"Podravska";9366;4823;4543
"2008/09";"Koroška";2016;1011;1005
"2008/09";"Savinjska";8643;4432;4211
"2008/09";"Zasavska";1118;589;529
"2008/09";"Posavska";2042;1050;992
"2008/09";"Jugovzhodna Slovenija";4760;2444;2316
"2008/09";"Osrednjeslovenska";19728;10326;9402
"2008/09";"Gorenjska";6418;3393;3025
"2008/09";"Primorsko-notranjska";1550;800;750
"2008/09";"Goriška";3402;1814;1588
"2008/09";"Obalno-kraška";3393;1747;1646
"2008/09";"stalno prebivališèe neznano ali v tujini";16;11;5
"2009/10";"SLOVENIJA";71109;36959;34150
"2009/10";"Pomurska";3757;1877;1880
"2009/10";"Podravska";10105;5238;4867
"2009/10";"Koroška";2200;1149;1051
"2009/10";"Savinjska";9088;4760;4328
"2009/10";"Zasavska";1195;626;569
"2009/10";"Posavska";2201;1114;1087
"2009/10";"Jugovzhodna Slovenija";5103;2630;2473
"2009/10";"Osrednjeslovenska";21278;11135;10143
"2009/10";"Gorenjska";7209;3821;3388
"2009/10";"Primorsko-notranjska";1586;804;782
"2009/10";"Goriška";3682;1888;1794
"2009/10";"Obalno-kraška";3705;1917;1788
"2009/10";"stalno prebivališèe neznano ali v tujini";15;7;8
"2010/11";"SLOVENIJA";75934;39585;36349
"2010/11";"Pomurska";3961;2000;1961
"2010/11";"Podravska";10638;5476;5162
"2010/11";"Koroška";2290;1212;1078
"2010/11";"Savinjska";9814;5205;4609
"2010/11";"Zasavska";1287;672;615
"2010/11";"Posavska";2325;1201;1124
"2010/11";"Jugovzhodna Slovenija";5378;2854;2524
"2010/11";"Osrednjeslovenska";22757;11857;10900
"2010/11";"Gorenjska";7622;4009;3613
"2010/11";"Primorsko-notranjska";1795;934;861
"2010/11";"Goriška";4031;2083;1948
"2010/11";"Obalno-kraška";4036;2082;1954
"2010/11";"stalno prebivališèe neznano ali v tujini";38;20;18
"2011/12";"SLOVENIJA";81121;42060;39061
"2011/12";"Pomurska";4105;2111;1994
"2011/12";"Podravska";11395;5831;5564
"2011/12";"Koroška";2513;1291;1222
"2011/12";"Savinjska";10400;5398;5002
"2011/12";"Zasavska";1427;759;668
"2011/12";"Posavska";2508;1276;1232
"2011/12";"Jugovzhodna Slovenija";5698;2981;2717
"2011/12";"Osrednjeslovenska";24454;12757;11697
"2011/12";"Gorenjska";8060;4191;3869
"2011/12";"Primorsko-notranjska";1875;980;895
"2011/12";"Goriška";4350;2244;2106
"2011/12";"Obalno-kraška";4336;2241;2095
"2011/12";"stalno prebivališèe neznano ali v tujini";100;56;44
"2012/13";"SLOVENIJA";82888;42956;39932
"2012/13";"Pomurska";4029;2077;1952
"2012/13";"Podravska";11456;5897;5559
"2012/13";"Koroška";2541;1283;1258
"2012/13";"Savinjska";10610;5460;5150
"2012/13";"Zasavska";1426;746;680
"2012/13";"Posavska";2549;1299;1250
"2012/13";"Jugovzhodna Slovenija";5949;3154;2795
"2012/13";"Osrednjeslovenska";25204;13128;12076
"2012/13";"Gorenjska";8218;4305;3913
"2012/13";"Primorsko-notranjska";1932;1000;932
"2012/13";"Goriška";4519;2351;2168
"2012/13";"Obalno-kraška";4455;2256;2199
"2012/13";"stalno prebivališèe neznano ali v tujini";202;103;99
"2013/14";"SLOVENIJA";83478;43340;40138
"2013/14";"Pomurska";4008;2073;1935
"2013/14";"Podravska";11620;6016;5604
"2013/14";"Koroška";2514;1287;1227
"2013/14";"Savinjska";10667;5504;5163
"2013/14";"Zasavska";1360;730;630
"2013/14";"Posavska";2446;1263;1183
"2013/14";"Jugovzhodna Slovenija";5920;3144;2776
"2013/14";"Osrednjeslovenska";25648;13337;12311
"2013/14";"Gorenjska";8255;4307;3948
"2013/14";"Primorsko-notranjska";1963;1002;961
"2013/14";"Goriška";4582;2383;2199
"2013/14";"Obalno-kraška";4495;2294;2201
"2013/14";"stalno prebivališèe neznano ali v tujini";222;103;119
"2014/15";"SLOVENIJA";84462;43774;40688
"2014/15";"Pomurska";3932;2055;1877
"2014/15";"Podravska";11727;6040;5687
"2014/15";"Koroška";2465;1262;1203
"2014/15";"Savinjska";10629;5412;5217
"2014/15";"Zasavska";1396;757;639
"2014/15";"Posavska";2595;1328;1267
"2014/15";"Jugovzhodna Slovenija";6137;3203;2934
"2014/15";"Osrednjeslovenska";25903;13435;12468
"2014/15";"Gorenjska";8428;4457;3971
"2014/15";"Primorsko-notranjska";2054;1065;989
"2014/15";"Goriška";4657;2441;2216
"2014/15";"Obalno-kraška";4539;2319;2220
"2014/15";"stalno prebivališèe neznano ali v tujini";288;146;142
"2015/16";"SLOVENIJA";84961;44275;40686
"2015/16";"Pomurska";3909;2044;1865
"2015/16";"Podravska";11787;6136;5651
"2015/16";"Koroška";2495;1290;1205
"2015/16";"Savinjska";10476;5419;5057
"2015/16";"Zasavska";1923;1028;895
"2015/16";"Posavska";2858;1468;1390
"2015/16";"Jugovzhodna Slovenija";6346;3320;3026
"2015/16";"Osrednjeslovenska";25416;13223;12193
"2015/16";"Gorenjska";8509;4519;3990
"2015/16";"Primorsko-notranjska";2076;1071;1005
"2015/16";"Goriška";4641;2380;2261
"2015/16";"Obalno-kraška";4525;2377;2148
"2015/16";"stalno prebivališèe neznano ali v tujini";446;229;217
"2016/17";"SLOVENIJA";86284;44672;41612
"2016/17";"Pomurska";3917;2024;1893
"2016/17";"Podravska";11797;6111;5686
"2016/17";"Koroška";2538;1297;1241
"2016/17";"Savinjska";10512;5431;5081
"2016/17";"Zasavska";2147;1140;1007
"2016/17";"Posavska";3065;1562;1503
"2016/17";"Jugovzhodna Slovenija";6348;3307;3041
"2016/17";"Osrednjeslovenska";25390;13152;12238
"2016/17";"Gorenjska";8465;4477;3988
"2016/17";"Primorsko-notranjska";2136;1086;1050
"2016/17";"Goriška";4651;2360;2291
"2016/17";"Obalno-kraška";4410;2262;2148
"2016/17";"stalno prebivališèe neznano ali v tujini";908;463;445
"2017/18";"SLOVENIJA";86703;44855;41848
"2017/18";"Pomurska";4049;2104;1945
"2017/18";"Podravska";11945;6212;5733
"2017/18";"Koroška";2619;1321;1298
"2017/18";"Savinjska";10638;5492;5146
"2017/18";"Zasavska";2132;1128;1004
"2017/18";"Posavska";3049;1548;1501
"2017/18";"Jugovzhodna Slovenija";6390;3317;3073
"2017/18";"Osrednjeslovenska";25327;13065;12262
"2017/18";"Gorenjska";8498;4473;4025
"2017/18";"Primorsko-notranjska";2142;1118;1024
"2017/18";"Goriška";4585;2341;2244
"2017/18";"Obalno-kraška";4319;2210;2109
"2017/18";"stalno prebivališèe neznano ali v tujini";1010;526;484
"2018/19";"SLOVENIJA";87147;44990;42157
"2018/19";"Pomurska";4071;2124;1947
"2018/19";"Podravska";12184;6343;5841
"2018/19";"Koroška";2669;1321;1348
"2018/19";"Savinjska";10531;5370;5161
"2018/19";"Zasavska";2200;1151;1049
"2018/19";"Posavska";3043;1587;1456
"2018/19";"Jugovzhodna Slovenija";6398;3320;3078
"2018/19";"Osrednjeslovenska";25240;13014;12226
"2018/19";"Gorenjska";8600;4450;4150
"2018/19";"Primorsko-notranjska";2140;1119;1021
"2018/19";"Goriška";4476;2292;2184
"2018/19";"Obalno-kraška";4332;2241;2091
"2018/19";"stalno prebivališèe neznano ali v tujini";1263;658;605
