"Število otrok na vrtec in število otrok na vzgojitelja in pomoènika vzgojitelja, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"2006/07 Število otrok na vrtec";"2006/07 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2007/08 Število otrok na vrtec";"2007/08 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2008/09 Število otrok na vrtec";"2008/09 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2009/10 Število otrok na vrtec";"2009/10 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2010/11 Število otrok na vrtec";"2010/11 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2011/12 Število otrok na vrtec";"2011/12 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2012/13 Število otrok na vrtec";"2012/13 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2013/14 Število otrok na vrtec";"2013/14 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2014/15 Število otrok na vrtec";"2014/15 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2015/16 Število otrok na vrtec";"2015/16 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2016/17 Število otrok na vrtec";"2016/17 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2017/18 Število otrok na vrtec";"2017/18 Število otrok na vzgojitelja in pomoènika vzgojitelja";"2018/19 Število otrok na vrtec";"2018/19 Število otrok na vzgojitelja in pomoènika vzgojitelja"
"SLOVENIJA";73.3;8.1;75.7;8.2;78.1;8.2;82.4;8.2;85.0;8.1;88.0;8.0;89.0;8.0;87.0;8.1;86.6;8.1;87.3;8.0;91.2;7.8;91.0;7.7;90.0;7.7
"Pomurska";46.8;7.5;48.9;7.6;52.4;7.6;53.9;7.5;55.0;7.5;56.0;7.4;56.0;7.4;56.0;7.5;54.9;7.2;56.1;7.1;57.0;-;59.7;-;59.8;6.9
"Podravska";65.7;8.3;66.8;8.3;70.4;8.3;77.0;8.2;81.0;8.0;86.0;8.1;86.0;8.0;85.0;7.9;85.7;7.9;87.0;7.8;91.9;-;92.6;-;90.3;7.6
"Koroška";59.6;9.0;59.5;9.0;61.8;9.2;65.6;9.2;68.0;8.7;69.0;9.0;70.0;9.0;68.9;8.9;73.9;8.9;72.3;8.7;74.1;-;78.6;-;75.5;8.4
"Savinjska";73.7;8.5;80.2;8.6;77.1;8.5;79.4;8.6;82.0;8.5;84.0;8.5;85.0;8.4;85.0;8.5;82.4;8.3;85.5;8.3;90.5;-;87.9;-;89.0;8.5
"Zasavska";71.6;9.4;72.2;9.3;83.4;9.4;89.4;9.1;91.0;9.5;100.0;9.2;99.0;9.2;94.9;9.0;97.0;9.0;79.2;8.8;85.2;-;84.8;-;83.1;7.9
"Posavska";60.1;7.8;55.9;7.9;59.4;8.0;64.6;7.9;65.0;7.3;72.0;7.6;72.0;7.7;68.7;7.7;79.5;7.8;80.5;7.8;85.5;-;85.2;-;82.9;7.4
"Jugovzhodna Slovenija";79.0;8.0;86.0;8.1;91.0;8.2;100.0;8.1;98.0;8.2;98.0;8.1;99.0;8.1;92.8;8.1;87.8;8.2;93.5;8.3;121.1;-;126.4;-;121.9;7.6
"Osrednjeslovenska";98.4;7.8;99.4;7.8;99.5;7.9;100.4;8.0;104.0;7.9;105.0;8.0;104.0;8.0;102.8;8.0;98.9;7.9;99.2;7.9;99.0;-;96.9;-;95.7;7.3
"Gorenjska";78.6;8.8;82.3;8.8;89.4;9.0;94.0;8.6;93.0;8.7;95.0;8.7;96.0;8.7;93.7;8.7;93.6;8.6;93.1;8.6;95.6;-;93.9;-;97.2;8.2
"Primorsko-notranjska";70.2;8.3;75.1;8.6;80.4;8.7;91.6;8.2;98.0;8.4;93.0;8.6;95.0;8.3;96.7;8.2;100.5;8.2;102.1;8.4;100.3;-;105.0;-;105.8;7.9
"Goriška";52.0;8.2;55.0;8.2;54.0;8.0;60.0;8.2;66.0;8.2;70.0;8.1;72.0;8.3;68.8;8.1;70.2;8.3;69.2;8.3;81.1;-;80.0;-;78.2;7.7
"Obalno-kraška";60.2;7.2;63.2;7.5;69.1;7.7;76.0;7.7;81.0;7.7;85.0;7.7;91.0;7.9;90.2;7.9;91.0;7.9;92.6;7.9;84.2;-;85.4;-;82.0;7.4
